Column1,Column2
"Saying ""please"" and ""thank you"" is an example of which act of goodness? (說「請」和「謝謝」是「三好」中的哪一項？)",Speak Good Words (說好話)
Silently wishing for your friend to succeed on a test is an example of which act of goodness? (在心裡祝福朋友考試成功是「三好」中的哪一項？),Think Good Thoughts (存好心)
"Venerable Master Hsing Yun often asked, ""What can I _____ for you?"" (星雲大師常問：「我還可以為您做什麼？」)",do
"In Tea Chan (茶禪), what is a simple good deed you can do for others? (在茶禪裡，你可以為別人做的一件簡單好事是什麼？)",Brew tea (泡茶)
Which of the Three Acts of Goodness is an internal action that happens in your mind? (三好中，哪一項是發生在心裡、別人看不見的？),Think Good Thoughts (存好心)
"The course title ""Little Tea Master"" is associated with which organization? (「小茶師」課程與哪個單位有關？)",FGS (佛光山)
What is the topic for group discussion mentioned in the lesson? (課程中提到的小組討論主題是什麼？),Using Tea Chan to Do Three Acts of Goodness (用茶禪行三好)
"One student wrote, ""Courage is doing what you're _____ to do."" (一位學生寫下：「勇氣是去做你所_____的事。」)",afraid (害怕)
A student's note expresses gratitude for whom for making the tables and chairs? (一位學生的筆記感謝誰製作桌椅？),The carpenter (木匠)
A student's note expresses gratitude for the people who _____ the tea. (一位學生的筆記感謝_____的人。),made (製茶)
What question can you ask in English to offer help? (你可以用哪句英文來主動提供幫助？),What can I do for you?
What is a good phrase to say when offering someone tea? (請人喝茶時可以說的一句好話是什麼？),請喝茶 (Please have some tea)
"The question ""What can I speak good words for you?"" asks what in Chinese? (「What can I speak good words for you?」的中文意思是什麼？)",我可以為你說哪些好話？
"The image with a heart, a smiley face, and a hand represents what concept? (有愛心、笑臉和手掌的圖案代表什麼概念？)",The Three Acts of Goodness (三好)
"Which of the Three Acts of Goodness do you practice when you encourage a friend by saying ""You can do it!""? (當你對朋友說「你可以的！」來鼓勵他時，你正在實踐三好中的哪一項？)",Speak Good Words (說好話)
"When you decide to be patient instead of getting angry, which act of goodness are you practicing? (當你決定保持耐心而不是生氣時，你正在實踐三好中的哪一項？)",Think Good Thoughts (存好心)
Sharing your snacks with a classmate is an example of which act of goodness? (跟同學分享你的點心是三好中的哪一項？),Do Good Deeds (做好事)
"According to a student's notes, who should be thanked for building the Twin Pavilions? (根據學生筆記，感謝誰建了雙閣樓？)",Venerable Master Hsing Yun (星雲大師)
